Item_Name,Category,Price_Tier,Base_Price_₹,ABC_Class,Total_Revenue_₹,Transaction_Count,Median_Daily_Qty,Demand_Class,Elasticity_Coefficient,Elasticity_Class,Elasticity_Group,Segment,Peak_Time_Slot,Rain_Boost_Flag
Chocolate Chip Muffin,Bakery,Budget,100,C,1400,11,1.0,Low Demand,10.0,Highly Elastic,High Elasticity,Promotional Item,Morning,False
Nutella Crème Donut,Bakery,Budget,120,C,1320,10,1.0,Low Demand,16.6667,Highly Elastic,High Elasticity,Promotional Item,Morning,False
Set Cheesecake,Dessert,Mid-range,315,C,1260,4,1.0,Low Demand,6.6667,Highly Elastic,High Elasticity,Promotional Item,Dinner,False
Stuffed Paratha Chicken,Wholesome Breakfast,Mid-range,210,C,1260,5,1.0,Low Demand,3.3333,Highly Elastic,High Elasticity,Promotional Item,Morning,False
Vanilla Muffin,Bakery,Budget,85,C,1105,10,1.0,Low Demand,11.6667,Highly Elastic,High Elasticity,Promotional Item,Afternoon,False
Ross Omelette,Wholesome Breakfast,Budget,185,C,925,5,1.0,Low Demand,13.3333,Highly Elastic,High Elasticity,Promotional Item,Morning,False
Caramel Hot Chocolate,Hot Chocolate,Budget,180,C,900,4,1.0,Low Demand,3.3333,Highly Elastic,High Elasticity,Promotional Item,Dinner,True
Stuffed Paratha Aloo,Wholesome Breakfast,Budget,125,C,875,6,1.0,Low Demand,3.3333,Highly Elastic,High Elasticity,Promotional Item,Morning,True
Cheese Croissant,Bakery,Budget,145,C,725,5,1.0,Low Demand,20.0,Highly Elastic,High Elasticity,Promotional Item,Morning,False
Mediterranean Cooler Salad,Salad Bowls,Mid-range,229,C,687,3,1.0,Low Demand,6.6667,Highly Elastic,High Elasticity,Promotional Item,Afternoon,False
Bournvita,Hot Beverages,Budget,120,C,480,4,1.0,Low Demand,3.3333,Highly Elastic,High Elasticity,Promotional Item,Morning,False
Pho,Large Soup Bowls,Mid-range,349,B,4886,11,1.0,Low Demand,0.0,Fixed Demand,Low Elasticity,Review Item,Dinner,False
Akuri On Toast,Classic Eggs,Budget,125,B,4500,28,1.0,Low Demand,0.4762,Inelastic,Low Elasticity,Review Item,Morning,False
Mix Veg Double Cheese Burger,Sandwiches Burgers Wraps,Budget,189,B,4158,18,1.0,Low Demand,1.1111,Moderately Elastic,Low Elasticity,Review Item,Evening,False
Chicken Hakka Dry Chili,Share-A-Plate,Mid-range,359,B,3590,9,1.0,Low Demand,0.0,Fixed Demand,Low Elasticity,Review Item,Dinner,False
Crème Chocolate Pancakes,Pancakes & Waffwich,Mid-range,275,B,3575,11,1.0,Low Demand,1.6667,Moderately Elastic,Low Elasticity,Review Item,Morning,False
Korean Breakfast,Wholesome Breakfast,Mid-range,289,B,3179,8,1.0,Low Demand,1.6667,Moderately Elastic,Low Elasticity,Review Item,Morning,False
Green Tea,Hot Beverages,Budget,150,C,3000,16,1.0,Low Demand,0.0,Fixed Demand,Low Elasticity,Review Item,Evening,False
Filled Coffee Donut,Bakery,Budget,95,C,2945,28,1.0,Low Demand,1.6667,Moderately Elastic,Low Elasticity,Review Item,Evening,False
Tempura Vegetables,Share-A-Plate,Budget,155,C,2945,18,1.0,Low Demand,0.0,Fixed Demand,Low Elasticity,Review Item,Dinner,False
Black Tea,Hot Beverages,Budget,90,C,2520,19,1.0,Low Demand,1.6667,Moderately Elastic,Low Elasticity,Review Item,Morning,False
Ice-cream Waffwich,Pancakes & Waffwich,Mid-range,269,C,2421,9,1.0,Low Demand,1.6667,Moderately Elastic,Low Elasticity,Review Item,Morning,False
Veg Puff,Bakery,Budget,55,C,2365,36,1.0,Low Demand,1.4286,Moderately Elastic,Low Elasticity,Review Item,Afternoon,False
Filled Blueberry Donut,Bakery,Budget,110,C,1980,15,1.0,Low Demand,0.0,Fixed Demand,Low Elasticity,Review Item,Afternoon,False
Kheema Pao,Wholesome Breakfast,Mid-range,219,C,1752,7,1.0,Low Demand,1.6667,Moderately Elastic,Low Elasticity,Review Item,Morning,False
Khari,Bakery,Budget,35,C,980,23,1.0,Low Demand,1.6667,Moderately Elastic,Low Elasticity,Review Item,Evening,True
